Item,Source,FieldID,BinaryID,RoiID,ObjID,ND.T,ND.M,ND.Z,Class,Area,EqDiameter,Length,Width,MaxFeret,MinFeret,MaxFeret90,Circularity,MeanIntensity,MeanRatio,MeanCa2+,MeanCorrFRET,MeanFRETEff,MeanTitration,Sample,DateCollected,Population,Temperature,pH
1,Frozen,1,Threshold,N/A,106,N/A,N/A,N/A,,12464.64,125.98,164.69,75.68,142.79,121.38,134.43,0.678,45.91,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
2,Frozen,1,Threshold,N/A,254,N/A,N/A,N/A,,9771.84,111.54,131.63,74.24,122.89,109.86,110.4,0.724,37.02,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
3,Frozen,1,Threshold,N/A,271,N/A,N/A,N/A,,11973.6,123.47,131.17,91.28,131.17,118.22,118.57,0.862,40.81,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
4,Frozen,1,Threshold,N/A,294,N/A,N/A,N/A,,10224,114.09,124.94,81.83,124.94,108,111.61,0.901,45.97,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
5,Frozen,1,Threshold,N/A,318,N/A,N/A,N/A,,11448,120.73,140.68,81.38,140.68,113.45,117.5,0.849,45.41,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
6,Frozen,1,Threshold,N/A,337,N/A,N/A,N/A,,10177.92,113.84,130.11,78.22,130.11,109.21,113.45,0.788,35.58,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
7,Frozen,1,Threshold,N/A,338,N/A,N/A,N/A,,10455.84,115.38,128.52,81.36,128.52,111.59,117.44,0.851,36.43,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
8,Frozen,1,Threshold,N/A,366,N/A,N/A,N/A,,10100.16,113.4,132.42,76.27,136.24,107.18,112.37,0.729,47.11,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
9,Frozen,1,Threshold,N/A,391,N/A,N/A,N/A,,10775.52,117.13,120.14,89.69,127.35,114.38,122.16,0.769,39.58,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
10,Frozen,1,Threshold,N/A,431,N/A,N/A,N/A,,9911.52,112.34,120.04,82.57,120.04,106.36,111.06,0.929,46.32,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
11,Frozen,1,Threshold,N/A,466,N/A,N/A,N/A,,12195.36,124.61,133.27,91.51,133.27,118.51,124.09,0.911,52.68,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
12,Frozen,1,Threshold,N/A,468,N/A,N/A,N/A,,10049.76,113.12,120.59,83.34,120.59,106.98,109.25,0.908,43,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
13,Frozen,3,Threshold,N/A,2,N/A,N/A,N/A,,8316,102.9,96.16,86.48,133.63,87.78,88.53,0.783,35.52,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
14,Frozen,3,Threshold,N/A,3,N/A,N/A,N/A,,11243.52,119.65,128.68,87.38,128.68,111.47,114.81,0.927,35.29,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
15,Frozen,3,Threshold,N/A,13,N/A,N/A,N/A,,10598.4,116.16,125.36,84.54,125.36,113.12,117.29,0.824,44.44,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
16,Frozen,3,Threshold,N/A,20,N/A,N/A,N/A,,10401.12,115.08,124.67,83.43,124.67,107.48,109.76,0.94,33.24,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
17,Frozen,3,Threshold,N/A,28,N/A,N/A,N/A,,10647.36,116.43,123.98,85.88,123.98,110.03,115.92,0.908,37.68,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
18,Frozen,3,Threshold,N/A,31,N/A,N/A,N/A,,11949.12,123.35,134.8,88.64,134.8,118.57,119.22,0.825,31.47,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
