Run ID,Sample,Sample,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
2019-08-15_162320,RNA High sensitivity,Standard 2,8/15/19 16:23,510,ng/mL,102,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1552.78
2019-08-15_161026,RNA High sensitivity,565,8/15/19 16:22,156,ng/mL,31.2,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,587.24
2019-08-15_161026,RNA High sensitivity,564,8/15/19 16:22,760,ng/mL,152,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2051.62
2019-08-15_161026,RNA High sensitivity,563,8/15/19 16:22,235,ng/mL,47,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,832.25
2019-08-15_161026,RNA High sensitivity,562,8/15/19 16:21,630,ng/mL,126,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1806.33
2019-08-15_161026,RNA High sensitivity,554,8/15/19 16:21,940,ng/mL,188,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2344.25
2019-08-15_161026,RNA High sensitivity,553,8/15/19 16:21,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2592.89
2019-08-15_161026,RNA High sensitivity,551,8/15/19 16:21,482,ng/mL,96.4,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1488.74
2019-08-15_161026,RNA High sensitivity,543,8/15/19 16:21,810,ng/mL,162,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2139.77
2019-08-15_161026,RNA High sensitivity,533,8/15/19 16:21,32.6,ng/mL,6.52,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,178.62
2019-08-15_161026,RNA High sensitivity,532,8/15/19 16:20,468,ng/mL,93.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1454.6
2019-08-15_161026,RNA High sensitivity,529,8/15/19 16:20,284,ng/mL,56.8,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,976.44
2019-08-15_161026,RNA High sensitivity,527,8/15/19 16:20,620,ng/mL,124,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1786.75
2019-08-15_161026,RNA High sensitivity,526,8/15/19 16:20,690,ng/mL,138,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1930.13
2019-08-15_161026,RNA High sensitivity,525,8/15/19 16:20,700,ng/mL,140,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1939.92
2019-08-15_161026,RNA High sensitivity,524,8/15/19 16:20,315,ng/mL,63,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1062.88
2019-08-15_161026,RNA High sensitivity,523,8/15/19 16:20,357,ng/mL,71.4,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1177.07
2019-08-15_161026,RNA High sensitivity,46,8/15/19 16:19,493,ng/mL,98.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1513.89
2019-08-15_161026,RNA High sensitivity,43,8/15/19 16:19,780,ng/mL,156,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2076.91
2019-08-15_161026,RNA High sensitivity,492,8/15/19 16:19,413,ng/mL,82.6,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,1321.94
2019-08-15_161026,RNA High sensitivity,490,8/15/19 16:19,Out of range,ng/mL,Out of range,ng/µL,1,200,80.33,1529.23,,Red,Far Red,,2563.46
