"","gene","eigenvalue","pc"
"1","Unknown4",0.137417405539863,"PC1"
"2","Unknown5",0.161754231622683,"PC1"
"3","Unknown1*",0.178644032189245,"PC1"
"4","Tuba3a*",0.187750617016016,"PC1"
"5","Hnrnpd-related",0.190752156262254,"PC1"
"6","USP47*",-0.197840247552632,"PC1"
"7","COI*",-0.148071412958091,"PC1"
"8","mt:ND5*",-0.112980985288457,"PC1"
"9","Slc4a7-related",-0.110643208080559,"PC1"
"10","Arl13b",-0.108307853132132,"PC1"
"11","Rps13",0.0941992062566462,"PC2"
"12","rpl35a",0.112886114036505,"PC2"
"13","Trib2",0.119277399782724,"PC2"
"14","Unknown6",0.145344241132633,"PC2"
"15","Unknown7",0.150111184130537,"PC2"
"16","Unknown3*",-0.226876586313973,"PC2"
"17","Unknown8",-0.13970905311333,"PC2"
"18","Unknown9",-0.123730947241296,"PC2"
"19","RpL39",-0.122481980826565,"PC2"
"20","gnb2l1",-0.121640329748982,"PC2"
