,L2.G_S34,L7.G_S57,L10.G_S59,L11.G_S65,L14.G_S63,L15.G_S68,SN1016.G_S26,L19.G_S67,L21.G_S58,L23.G_S61,L24.G_S62,L29.G_S36,L32.G_S35,L33.G_S66
TRINITY_DN1674_c0_g1_i2,-2.072390787,-2.083738779,-2.081926183,-2.075777111,-2.079693524,-2.077852254,-2.047867449,-1.999926546,-2.063515223,-2.077294635,-1.973909401,-2.076006553,-2.07851697,-2.086867131
TRINITY_DN4388_c0_g1_i11,-2.270394482,-2.275617105,-2.274782904,-2.271952951,-2.27375538,-2.272907983,-2.259108244,-2.275677243,-2.266309731,-2.272651353,-2.263703518,-2.233425975,-2.273213901,-2.277056849
TRINITY_DN4421_c0_g3_i1,0.222558432,0.127978996,-0.341238758,0.046196041,-0.338372833,-0.135145388,-0.281129192,-0.343680038,-0.31582367,-0.132713764,-0.041102796,-0.333501103,0.170473763,-0.172758944
TRINITY_DN2268_c0_g1_i1,-2.070289278,-2.013138472,-2.077796079,-2.072955183,-2.076038404,-2.074588853,-2.050983124,-2.079325928,-2.063301934,-2.008065279,-2.058843766,-2.073135813,-2.075112154,-2.081685872
TRINITY_DN3209_c2_g1_i1,-2.228685977,-2.276203204,-2.275299345,-2.272233083,-2.274186019,-2.273267862,-2.258315807,-2.276268364,-2.266118638,-2.272989803,-2.263294799,-2.272347495,-2.273599326,-2.277763171
TRINITY_DN25452_c0_g1_i1,-1.498254336,-1.518421837,-1.515200515,-1.504272466,-1.511232663,-1.358778166,-1.454671785,-1.369471847,-1.333298583,-1.506969389,-1.472416738,-1.504680227,-1.35995949,-1.378248624
TRINITY_DN9104_c0_g1_i1,-2.270252466,-2.275062711,-2.274294378,-2.271687878,-2.237765839,-2.272567501,-2.259857388,-2.2751181,-2.266490246,-2.272331134,-2.26408982,-2.271785135,-2.272849264,-2.276388773
TRINITY_DN9857_c0_g1_i7,-2.270005154,-2.274098959,-2.273445062,-2.271226775,-2.272639627,-2.271975386,-2.261158323,-2.274146099,-2.266803281,-2.271774224,-2.264760374,-2.271309547,-2.272215183,-2.244944988
TRINITY_DN2206_c0_g1_i23,-2.270322053,-2.275334288,-2.274533692,-2.271817741,-2.27354756,-2.235658,-2.259490469,-2.275392003,-2.266401852,-2.272488008,-2.263900627,-2.271919082,-2.273027895,-2.276716034
TRINITY_DN6891_c1_g1_i2,-2.271268921,-2.279038966,-2.277797869,-2.273587559,-2.276269153,-2.275008423,-2.254477629,-2.279128437,-2.265191763,-2.274626617,-2.203838064,-2.273744659,-2.275463558,-2.281180969
TRINITY_DN9391_c0_g1_i2,-2.270005154,-2.274098959,-2.273445062,-2.271226775,-2.272639627,-2.271975386,-2.261158323,-2.274146099,-2.266803281,-2.271774224,-2.264760374,-2.271309547,-2.272215183,-2.244944988
TRINITY_DN2016_c0_g1_i1,-2.070716588,-2.080141185,-2.078635809,-2.073528957,-2.076781568,-1.935821898,-2.050349764,-2.080249708,-2.063345362,-2.074789272,-2.058642265,-2.07371951,-2.075804431,-2.082739306
TRINITY_DN12841_c0_g1_i2,-2.270171536,-2.274747068,-2.240170293,-2.271536908,-2.273116013,-2.27237361,-2.260283682,-2.274799754,-2.266592893,-2.272148777,-2.264309594,-2.27162942,-2.272641624,-2.276008425
TRINITY_DN4040_c0_g1_i15,-2.270322053,-2.275334288,-2.274533692,-2.271817741,-2.27354756,-2.235658,-2.259490469,-2.275392003,-2.266401852,-2.272488008,-2.263900627,-2.271919082,-2.273027895,-2.276716034
TRINITY_DN6122_c0_g1_i1,-2.069522639,-2.018004154,-2.07628963,-2.071925814,-2.074705177,-2.073398482,-2.052119143,-2.07766871,-2.06322391,-2.073002756,-2.059205103,-2.072088642,-2.073870211,-2.020224254
