"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN715_c0_g1_i3",0,2,1,0,0,0,1,2,2,0,4,1,0,0
"TRINITY_DN208_c0_g1_i2",0,0,0,2,2,2,0,1,0,0,0,8,1,2
"TRINITY_DN4970_c0_g1_i2",1,1,0,0,1,0,1,1,1,0,3,0,0,0
"TRINITY_DN721_c0_g2_i2",2,2,3,0,1,0,2,6,1,2,7,0,0,0
"TRINITY_DN1977_c0_g1_i2",16,3,21,17,98,26,1,9,16,18,16,40,89,32
"TRINITY_DN300_c0_g2_i1",1,1,0,0,0,0,1,4,1,2,0,0,1,0
"TRINITY_DN810_c0_g1_i4",0,2,2,4,6,5,1,2,0,0,0,1,2,3
"TRINITY_DN5956_c0_g1_i2",0,0,0,8,0,2,0,0,0,1,0,0,1,12
"TRINITY_DN1745_c1_g1_i1",2,1,0,0,0,1,1,3,1,2,2,0,1,0
"TRINITY_DN944_c5_g1_i3",4,12,1,0,5,3,3,7,3,7,7,5,2,3
"TRINITY_DN4424_c0_g1_i3",1,0,0,41,0,1,0,0,0,7,0,1,1,25
"TRINITY_DN60650_c0_g1_i2",0,1,0,0,0,0,1,0,2,2,2,0,0,0
"TRINITY_DN1912_c0_g1_i9",3,5,9,10,9,18,4,4,1,3,0,24,2,6
"TRINITY_DN3262_c0_g1_i3",0,0,1,17,0,0,0,0,0,0,0,0,2,5
"TRINITY_DN7863_c0_g2_i2",0,0,1,5,2,0,0,0,0,0,0,8,0,2
"TRINITY_DN3058_c0_g1_i1",3,0,3,4,1,4,1,2,2,0,0,5,6,8
"TRINITY_DN187_c1_g1_i2",9,17,2,1,4,3,5,3,1,5,0,0,1,2
"TRINITY_DN2385_c0_g2_i1",0,0,1,2,2,0,0,1,0,0,0,7,1,1
"TRINITY_DN3666_c0_g2_i1",0,0,0,5,8,3,1,1,0,0,0,1,4,0
"TRINITY_DN2426_c0_g1_i7",2,5,0,0,0,0,1,5,0,3,0,0,0,0
"TRINITY_DN6907_c0_g1_i2",6,2,0,0,0,0,1,2,0,1,0,0,1,0
"TRINITY_DN8708_c0_g1_i3",1,5,2,0,0,0,1,3,1,2,0,0,0,0
"TRINITY_DN6200_c0_g2_i3",8,3,5,18,9,8,2,5,5,5,5,22,13,19
"TRINITY_DN6873_c0_g3_i2",4,2,5,11,11,1,1,6,2,1,0,7,10,7
"TRINITY_DN2770_c0_g1_i4",4,1,0,1,0,1,0,4,2,1,2,0,1,1
"TRINITY_DN760_c0_g1_i9",0,1,1,12,2,7,1,6,4,1,1,23,6,4
"TRINITY_DN1315_c0_g1_i6",0,0,3,6,3,2,0,0,2,2,0,3,8,7
