"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN9990_c0_g2_i1",19,38,31,26,17,9,11,36,11,33,3,24,32,39
"TRINITY_DN3697_c0_g1_i1",0,0,1,0,0,0,6,0,1,1,0,4,0,1
"TRINITY_DN348_c2_g1_i1",1,8,1,0,0,1,0,1,0,5,0,0,1,1
"TRINITY_DN18995_c0_g1_i2",0,9,5,0,0,0,0,8,0,4,0,0,8,1
"TRINITY_DN276_c0_g1_i5",4,3,6,17,8,9,10,3,4,6,2,10,5,3
"TRINITY_DN391_c0_g2_i2",9,13,12,5,6,2,1,12,4,8,1,2,18,19
"TRINITY_DN949_c0_g1_i2",59,81,88,23,59,26,8,36,32,48,33,6,36,51
"TRINITY_DN4562_c0_g2_i2",7,21,9,3,10,6,5,13,3,5,0,1,4,14
"TRINITY_DN8790_c0_g1_i4",0,3,7,0,0,0,0,3,1,4,0,0,4,0
"TRINITY_DN2787_c0_g1_i5",5,8,5,2,6,0,1,4,0,2,1,1,1,1
"TRINITY_DN1409_c0_g1_i1",0,11,9,0,0,1,1,13,0,7,0,2,8,3
"TRINITY_DN1582_c0_g1_i2",0,2,4,1,2,0,1,4,0,6,0,0,2,1
"TRINITY_DN91_c0_g1_i2",21,24,18,1,21,16,1,3,10,24,7,1,26,15
"TRINITY_DN420_c0_g2_i1",5,5,7,1,8,2,1,14,3,9,3,3,10,14
"TRINITY_DN4331_c0_g1_i5",5,12,11,1,8,1,2,2,2,7,1,0,4,7
"TRINITY_DN689_c0_g1_i2",0,0,1,2,0,1,0,0,1,0,3,2,1,0
"TRINITY_DN12011_c0_g2_i1",2,3,2,0,2,0,0,4,0,1,0,0,0,1
"TRINITY_DN4877_c0_g1_i13",0,0,0,3,1,2,1,2,0,0,1,3,0,0
"TRINITY_DN1499_c0_g2_i1",0,2,4,0,0,0,0,3,0,2,0,0,2,1
"TRINITY_DN99662_c0_g1_i1",0,0,1,2,0,3,1,0,1,0,0,2,1,1
"TRINITY_DN2748_c0_g1_i3",3,9,4,12,5,37,8,7,1,5,1,10,3,7
"TRINITY_DN61004_c0_g1_i5",0,0,1,2,2,2,9,2,2,0,0,3,0,0
"TRINITY_DN104_c0_g2_i6",12,30,25,13,12,12,0,38,7,14,0,6,30,33
"TRINITY_DN2454_c1_g1_i6",0,4,3,0,0,0,0,3,0,3,0,0,1,1
"TRINITY_DN31366_c0_g2_i1",0,0,1,5,1,0,6,1,1,1,1,4,1,2
"TRINITY_DN16161_c2_g2_i1",1,1,0,3,1,5,0,0,0,0,2,3,0,1
"TRINITY_DN1711_c1_g1_i4",19,17,18,0,1,0,1,1,4,12,0,0,0,5
"TRINITY_DN682_c0_g1_i5",0,0,2,3,1,0,7,1,1,0,0,13,2,1
"TRINITY_DN109163_c0_g1_i1",170,177,298,250,177,207,122,129,134,186,254,229,183,186
"TRINITY_DN11605_c0_g1_i3",0,0,2,2,0,4,2,0,2,1,1,0,0,0
"TRINITY_DN896_c0_g1_i9",9,1,1,1,1,1,0,21,1,1,0,1,1,6
"TRINITY_DN109_c0_g1_i2",1,3,2,3,1,8,1,0,2,0,3,5,1,1
"TRINITY_DN61004_c0_g1_i6",0,0,1,3,0,0,11,0,1,0,0,13,2,2
"TRINITY_DN364_c0_g1_i2",6,6,9,20,5,41,11,5,5,7,0,16,6,13
"TRINITY_DN4817_c0_g1_i1",0,0,0,5,1,0,0,0,2,0,0,6,0,0
"TRINITY_DN949_c0_g1_i3",31,61,57,20,45,13,4,28,28,35,18,2,35,44
"TRINITY_DN4606_c0_g1_i12",2,1,10,25,18,1,35,4,23,2,0,58,10,11
"TRINITY_DN8084_c0_g1_i9",1,0,0,2,2,0,11,0,1,0,0,0,0,0
"TRINITY_DN902_c0_g2_i3",0,3,10,0,0,0,0,7,0,6,0,0,2,2
"TRINITY_DN4986_c0_g1_i3",378,472,679,740,668,489,268,431,373,506,733,717,686,552
"TRINITY_DN3105_c0_g2_i1",0,3,3,0,0,0,0,4,0,4,0,0,2,1
"TRINITY_DN104730_c0_g1_i1",5,3,4,1,1,0,0,5,0,3,1,0,5,0
"TRINITY_DN2825_c0_g1_i5",1,3,3,1,1,0,0,3,0,5,1,1,2,4
"TRINITY_DN2341_c0_g2_i1",17,20,17,10,11,4,4,27,7,12,1,7,17,18
"TRINITY_DN4184_c0_g1_i1",0,1,0,2,1,3,1,0,2,0,2,2,1,0
"TRINITY_DN521_c0_g1_i1",1,1,2,4,1,6,2,1,2,1,0,4,0,1
