"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN18995_c0_g1_i2",0,9,5,0,0,0,0,8,0,4,0,0,8,1
"TRINITY_DN411_c0_g1_i20",11,8,3,4,0,0,0,9,0,4,0,3,4,0
"TRINITY_DN2890_c0_g1_i1",6,12,7,9,9,39,9,13,5,6,3,6,3,12
"TRINITY_DN109347_c0_g1_i1",0,1,0,0,2,5,1,0,1,1,0,1,1,0
"TRINITY_DN186_c0_g1_i7",1,1,0,0,2,2,2,0,0,0,0,0,0,0
"TRINITY_DN5499_c0_g1_i1",7,14,4,15,4,0,1,13,4,8,2,6,12,13
"TRINITY_DN2748_c0_g1_i3",3,9,4,12,5,37,8,7,1,5,1,10,3,7
"TRINITY_DN104550_c0_g1_i1",4,6,1,0,0,0,0,2,1,2,0,4,6,1
"TRINITY_DN61004_c0_g1_i5",0,0,1,2,2,2,9,2,2,0,0,3,0,0
"TRINITY_DN448_c0_g1_i6",2,4,2,3,0,0,0,1,0,0,2,2,1,3
"TRINITY_DN239_c0_g1_i9",6,9,11,2,1,2,0,10,3,4,5,1,10,4
"TRINITY_DN364_c0_g1_i2",6,6,9,20,5,41,11,5,5,7,0,16,6,13
"TRINITY_DN606_c0_g1_i2",2,5,3,3,1,15,3,5,0,2,0,1,2,3
"TRINITY_DN1692_c0_g1_i3",27,18,14,10,5,5,4,13,12,19,5,17,21,11
"TRINITY_DN8084_c0_g1_i9",1,0,0,2,2,0,11,0,1,0,0,0,0,0
"TRINITY_DN4413_c0_g1_i1",0,1,0,0,1,5,2,1,0,1,0,0,0,2
"TRINITY_DN2531_c0_g1_i1",3,11,7,6,9,17,4,4,4,6,1,6,3,7
"TRINITY_DN6782_c0_g1_i3",8,6,10,16,5,2,3,13,8,9,3,15,12,9
"TRINITY_DN14063_c0_g5_i1",2,3,5,2,0,0,0,2,0,0,1,3,3,0
"TRINITY_DN2160_c0_g3_i1",3,13,6,0,0,1,0,20,1,8,0,0,4,2
"TRINITY_DN896_c0_g1_i7",5,3,7,4,0,2,0,20,0,15,0,3,5,7
"TRINITY_DN3668_c0_g1_i1",13,16,13,6,2,1,0,8,5,6,1,5,7,2
"TRINITY_DN621_c0_g2_i1",2,1,0,12,0,0,0,1,0,3,1,1,2,2
"TRINITY_DN368_c0_g2_i1",2,5,5,1,4,18,1,2,2,0,3,0,2,2
"TRINITY_DN1068_c0_g1_i12",0,1,0,1,3,5,1,0,0,0,0,0,0,1
"TRINITY_DN348_c1_g1_i1",2,2,1,6,3,19,4,2,2,2,0,4,2,5
"TRINITY_DN6012_c0_g1_i10",74,96,28,71,28,202,64,45,40,19,21,91,32,29
"TRINITY_DN18435_c0_g1_i1",1,1,0,0,1,10,1,1,0,0,0,1,0,0
"TRINITY_DN11970_c0_g1_i2",19,14,11,13,4,8,3,18,6,16,6,11,19,15
"TRINITY_DN888_c0_g1_i4",3,6,2,1,1,0,0,11,4,0,1,1,6,9
"TRINITY_DN1224_c0_g1_i2",3,3,5,3,1,0,0,2,3,3,2,0,3,3
"TRINITY_DN6_c0_g1_i1",18,21,22,24,39,69,11,18,22,20,34,28,25,25
"TRINITY_DN6573_c0_g1_i1",1,0,4,2,2,0,22,0,1,2,0,8,0,4
"TRINITY_DN2731_c4_g1_i1",1,2,1,1,2,12,1,0,1,0,2,3,0,1
