group	lib.size	norm.factors	eff.lib.size
CP-KS-LibL-L10-G_S59_L006_R1_001	999979	0.579064623905584	579052.463548482
CP-KS-LibL-L11-G_S65_L006_R1_001	1000004	0.625092303969284	625094.8043385
CP-KS-LibL-L13-G_S60_L006_R1_001	1000002	3.60666520092591	3606672.41425631
CP-KS-LibL-L14-G_S63_L006_R1_001	999994	0.653478016406713	653474.095538614
CP-KS-LibL-L15-G_S68_L006_R1_001	999998	0.675173496571867	675172.146224874
CP-KS-LibL-L19-G_S67_L006_R1_001	1000010	0.619855647671649	619861.846228126
CP-KS-LibL-L2-G_S34_L006_R1_001	999976	0.673315147736326	673298.98817278
CP-KS-LibL-L21-G_S58_L006_R1_001	999979	0.762522548141898	762506.535168387
CP-KS-LibL-L23-G_S61_L006_R1_001	1000012	0.6649664868348	664974.466432642
CP-KS-LibL-L24-G_S62_L006_R1_001	999991	0.99043654441411	990427.63048521
CP-KS-LibL-L29-G_S36_L006_R1_001	1000014	0.623072230864283	623080.953875515
CP-KS-LibL-L3-G_S64_L006_R1_001	1000002	1.64362734092289	1643630.62817757
CP-KS-LibL-L32-G_S35_L006_R1_001	1000016	0.598033713361107	598043.281900521
CP-KS-LibL-L33-G_S66_L006_R1_001	999989	0.608907390870777	608900.692889478
CP-KS-LibL-L34-L_S25_L006_R1_001	999992	2.56089620086314	2560875.71369354
CP-KS-LibL-L35-L_S31_L006_R1_001	999995	1.28581394353666	1285807.51446694
CP-KS-LibL-L37-L_S32_L006_R1_001	1000002	2.24268856838308	2242693.05376022
CP-KS-LibL-L39-L_S29_L006_R1_001	999999	1.55882371407128	1558822.15524756
CP-KS-LibL-L41-L_S27_L006_R1_001	999984	1.57005633842466	1570031.21752325
CP-KS-LibL-L44-L_S30_L006_R1_001	1000002	1.09168541257368	1091687.59594451
CP-KS-LibL-L45-L_S28_L006_R1_001	999983	1.26313684963236	1263115.37630591
CP-KS-LibL-L47-L_S33_L006_R1_001	1000001	1.60377815020639	1603779.75398454
CP-KS-LibL-L7-G_S57_L006_R1_001	999984	0.559004913048427	558995.968969818
CP-KS-LibL-SN1016-G_S26_L006_R1_001	999987	0.994055773096623	994042.850371573
