cutoff,assembly_score
0.01,0.04752
0.01111,0.04753
0.01151,0.04753
0.01161,0.04753
0.01205,0.04753
0.01218,0.04753
0.01324,0.04754
0.01325,0.04754
0.01369,0.04754
0.01388,0.04754
0.01445,0.04754
0.01482,0.04754
0.01483,0.04755
0.01485,0.04755
0.01502,0.04755
0.0154,0.04755
0.01572,0.04755
0.0158,0.04756
0.01593,0.04756
0.01689,0.04756
0.0174,0.04756
0.01759,0.04756
0.01766,0.04756
0.01771,0.04757
0.01783,0.04757
0.01845,0.04757
0.01852,0.04757
0.01861,0.04757
0.01862,0.04757
0.01876,0.04758
0.01877,0.04758
0.01878,0.04758
0.01948,0.04758
0.01963,0.04758
0.01968,0.04759
0.02008,0.04759
0.02015,0.04759
0.02058,0.04759
0.02062,0.04759
0.02063,0.04759
0.02092,0.0476
0.02092,0.0476
0.02102,0.0476
0.02127,0.0476
0.02152,0.0476
0.02154,0.0476
0.02164,0.0476
0.02245,0.04761
0.0225,0.04761
0.0225,0.04761
0.02257,0.04761
0.02263,0.04761
0.02266,0.04761
0.0229,0.04762
0.02302,0.04762
0.02322,0.04762
0.02341,0.04762
0.02345,0.04762
0.02377,0.04762
0.02382,0.04763
0.02383,0.04763
0.02387,0.04763
0.02399,0.04763
0.02466,0.04763
0.02474,0.04763
0.02495,0.04764
0.02504,0.04764
0.0252,0.04764
0.02575,0.04764
0.02601,0.04764
0.02612,0.04764
0.02619,0.04764
0.02632,0.04765
0.02638,0.04765
0.02639,0.04765
0.0264,0.04765
0.02648,0.04765
0.02673,0.04765
0.02677,0.04766
0.02701,0.04766
0.02711,0.04766
0.02711,0.04766
0.02724,0.04766
0.02726,0.04766
0.0277,0.04766
0.02788,0.04767
0.02803,0.04767
0.02862,0.04767
0.02879,0.04767
0.02897,0.04767
0.02903,0.04767
0.02906,0.04767
0.02918,0.04768
0.02921,0.04768
0.02922,0.04768
0.02939,0.04768
0.02942,0.04768
0.02952,0.04768
0.02955,0.04769
0.02966,0.04769
0.02973,0.04769
0.02979,0.04769
0.02982,0.04769
0.02985,0.04769
0.02988,0.04769
0.02988,0.04769
0.02994,0.0477
0.03008,0.0477
